ID,User ID,Date,Waterway Name,Description,Latitude,Longitude,Region,Postcode,District,Country
kPpewnIxXJcFsJkgIk0V,huIeZqoVstOU2GZJFkTWxYxmzbz1,2022-04-05 22:17:59,Tt,Test,51.5002391,0.0257269,London,E16 2YX,Newham,England
1QA8ZXI2vUGjEtOkcoBM,zHm4JXEFN3WQ0xUdeR0bYSUCBBM2,2022-06-30 19:07:15,Hogsmill River,Foamy water - water coming out of a small opening quickly. A smell that wasn’t that nice but hard to describe. Near River Thames,51.40872048082979,-0.30702790008022174,London,KT1 1HD,Kingston upon Thames,England
pwCpYnjMQFFlolB4oPFu,yzQvPkQbrPWopJdPkeNizDZXUGz1,2022-07-10 11:25:26,Derwentwater,Phosphate 100,54.5810428,-3.1315045,North West,CA12 5UR,Cumberland,England
5kj3JxPUpzYvNeB0P9VG,yzQvPkQbrPWopJdPkeNizDZXUGz1,2022-07-10 11:28:40,Derwentwater,PH levels 4,54.58162507906021,-3.1311686586062164,North West,CA12 5UP,Cumberland,England
thvJotTFMtV7VOgMJeCT,yzQvPkQbrPWopJdPkeNizDZXUGz1,2022-07-10 11:31:42,Derwentwater,Coliforms,54.581725127114524,-3.1310968939244104,North West,CA12 5UP,Cumberland,England
HDSeUk7fUnUtpi09d4Ox,yzQvPkQbrPWopJdPkeNizDZXUGz1,2022-07-10 11:33:41,Derwentwater,Nitrate 10/1,54.5810927,-3.1314574,North West,CA12 5UR,Cumberland,England
wFHXaRzgNxDcLxgWTaQn,yzQvPkQbrPWopJdPkeNizDZXUGz1,2022-08-01 08:49:00,Derwentwater,"Brown foamy scum on the shoreline, not normally here. Very much summer, very busy, lots of people, water craft, animals all swimming. Less rain also plus higher temps.",54.581294,-3.1313489,North West,CA12 5UR,Cumberland,England
A4W7uLWZwwakIuuO5gRg,P56IaM3fYHeL0I1uzYnL5aZStsO2,2022-08-12 16:43:36,River crane,Algae    low water levels,51.4494428,-0.3863857,London,TW4 5PZ,Richmond upon Thames,England
Zv1kffPwe3vXCSbsspP2,LaewYpggt0P9WZhcvNncSReyevI3,2022-08-17 17:44:19,"River Thames, Teddington",Sewage dump from outlet,51.42622,-0.31103,London,TW11 9QQ,Richmond upon Thames,England
dC9x20j56yTMBi4x6P72,U0ABNO0j4GQrng02OuBns8H0Ua43,2022-09-06 19:41:00,Lakes Windermere,Beck is grey and opaque. Some heavy rainfall. Large particles in water. Scum and foam present.,54.4025707,-2.962696,North West,LA22 0JA,Westmorland and Furness,England
