ID,User ID,Reading Type,Date,Waterway Name,Test Kit Name,Latitude,Longitude,Region,Postcode,District,Country,Coliforms Reading,Phosphate Reading,Phosphate Units,Nitrite Reading,Nitrite Units,Nitrate Reading,Nitrate Units,pH Reading
1A11YSP7NIgnCGB3lCwf,w3a4GY9o1TZPW86MRpeyUKN7rBm2,nitrate,,River Dee,Planet Patrol,53.187725,-2.86982,North West,CH3 5UW,Cheshire West and Chester,England,,,,0,mg/l,25,mg/l,
41fmrABh6hVbxkb4JWQL,w3a4GY9o1TZPW86MRpeyUKN7rBm2,nitrate,,River Dee,Planet Patrol,53.187855,-2.869325,North West,CH3 5UW,Cheshire West and Chester,England,,,,0,mg/l,25,mg/l,
TdDJ8dm0vhBauW1GITrG,w3a4GY9o1TZPW86MRpeyUKN7rBm2,nitrate,,River Dee,Planet Patrol,53.18787,-2.8697116666666664,North West,CH3 5UW,Cheshire West and Chester,England,,,,0,mg/l,25,mg/l,
Vz54sSsNMTCOBKmjbvqr,w3a4GY9o1TZPW86MRpeyUKN7rBm2,nitrate,,River Dee,Planet Patrol,53.187855,-2.869325,North West,CH3 5UW,Cheshire West and Chester,England,,,,0,mg/l,25,mg/l,
d4szNriPZ6EupIYOWMpS,ERFtPMiLHSgWmSeVjJKUJud2qJ32,nitrate,,Bristol Feeder Canal,Planet Patrol,51.4520256,-2.5978468,South West,BS1 5TX,"Bristol, City of",England,,,,0,mg/l,50,mg/l,
o721ypRdK6sxaLjANOAa,ERFtPMiLHSgWmSeVjJKUJud2qJ32,nitrate,,River frome,Planet Patrol,51.477969,-2.5601696,South West,BS16 1BQ,"Bristol, City of",England,,,,0,mg/l,0,mg/l,
wNFAMQVcnfEEIROKxNXt,w3a4GY9o1TZPW86MRpeyUKN7rBm2,nitrate,,River Dee,Planet Patrol,53.187855,-2.8694033333333335,North West,CH3 5UW,Cheshire West and Chester,England,,,,0,mg/l,25,mg/l,
zyZtXVXAn5fCetkEc6Ut,w3a4GY9o1TZPW86MRpeyUKN7rBm2,nitrate,,River Dee,Planet Patrol,53.18788,-2.869825,North West,CH3 5UW,Cheshire West and Chester,England,,,,0,mg/l,25,mg/l,
36FnTHD1cNzrzpc7OuCz,w3a4GY9o1TZPW86MRpeyUKN7rBm2,phosphate,,River Dee,Planet Patrol,53.18795333333333,-2.8694166666666665,North West,CH3 5UW,Cheshire West and Chester,England,,100,ppb,,,,,
CMn3hwazM5to1qh3SWqm,ERFtPMiLHSgWmSeVjJKUJud2qJ32,phosphate,,Bristol Feeder canal,Planet Patrol,51.45214,-2.5972496,South West,BS1 4DJ,"Bristol, City of",England,,100,ppb,,,,,
PgulR55Fmk8CBg19KJva,w3a4GY9o1TZPW86MRpeyUKN7rBm2,phosphate,,River Dee,Planet Patrol,53.187745,-2.8698616666666665,North West,CH3 5UW,Cheshire West and Chester,England,,100,ppb,,,,,
R4jbyXz3tfYkxf22L2cR,w3a4GY9o1TZPW86MRpeyUKN7rBm2,phosphate,,River Dee,Planet Patrol,53.18786166666667,-2.86983,North West,CH3 5UW,Cheshire West and Chester,England,,100,ppb,,,,,
VKwmD7p6vwVrgmgLnzqC,w3a4GY9o1TZPW86MRpeyUKN7rBm2,phosphate,,River Dee,Planet Patrol,53.18734666666667,-2.8695116666666665,North West,CH3 5UY,Cheshire West and Chester,England,,200,ppb,,,,,
VaSitaEQfqi3MjZJ25EF,ERFtPMiLHSgWmSeVjJKUJud2qJ32,phosphate,,Bristol Feeder Canal,Planet Patrol,51.4521869,-2.5975207,South West,BS1 5TX,"Bristol, City of",England,,300,ppb,,,,,
cyFArt6tExMa7XaJEe0p,w3a4GY9o1TZPW86MRpeyUKN7rBm2,phosphate,,River Dee,Planet Patrol,53.187725,-2.8698383333333335,North West,CH3 5UW,Cheshire West and Chester,England,,100,ppb,,,,,
pewKWocJzTnSS5uJfHJw,w3a4GY9o1TZPW86MRpeyUKN7rBm2,phosphate,,River Dee,Planet Patrol,53.18795333333333,-2.8694166666666665,North West,CH3 5UW,Cheshire West and Chester,England,,100,ppb,,,,,
wFWES9KwpncCEThDO6xt,ERFtPMiLHSgWmSeVjJKUJud2qJ32,phosphate,,Bristol Feeder Canal,Planet Patrol,51.4521831,-2.597503,South West,BS1 5TX,"Bristol, City of",England,,100,ppb,,,,,
1mhxsjg8UlqwpyDtjGnx,w3a4GY9o1TZPW86MRpeyUKN7rBm2,coliforms,,River Dee,Planet Patrol,53.18801166666667,-2.8689666666666667,North West,CH3 5UT,Cheshire West and Chester,England,True,,,,,,,
BI0ekIE0lubP6kwjxjFY,w3a4GY9o1TZPW86MRpeyUKN7rBm2,coliforms,,River Dee,Planet Patrol,53.182428333333334,-2.8708333333333336,North West,CH3 5UX,Cheshire West and Chester,England,True,,,,,,,
BkOEPqP65mZwUKw0dNHx,ERFtPMiLHSgWmSeVjJKUJud2qJ32,coliforms,,Bristol Feeder Canal,Planet Patrol,,,,,,,True,,,,,,,
RXGDaibR6pfh8jQwtoHi,ERFtPMiLHSgWmSeVjJKUJud2qJ32,coliforms,,Bristol Feeder Canal,Planet Patrol,,,,,,,True,,,,,,,
Z1pCbsVeFjkS6PKFfyFY,w3a4GY9o1TZPW86MRpeyUKN7rBm2,coliforms,,River Dee,Planet Patrol,53.187875,-2.869813333333333,North West,CH3 5UW,Cheshire West and Chester,England,True,,,,,,,
hyqJxHm1FxQK7Q8Xqw8u,ERFtPMiLHSgWmSeVjJKUJud2qJ32,coliforms,,Bristol Feeder canal,Planet Patrol,,,,,,,True,,,,,,,
qOJ3QQdxynrrKJm7QXLV,w3a4GY9o1TZPW86MRpeyUKN7rBm2,coliforms,,River Dee,Planet Patrol,53.187745,-2.8698033333333335,North West,CH3 5UW,Cheshire West and Chester,England,True,,,,,,,
sqtDXry9rZaBEb0WzusY,w3a4GY9o1TZPW86MRpeyUKN7rBm2,coliforms,,River Dee,Planet Patrol,53.187564,-2.8699584,North West,CH3 5UW,Cheshire West and Chester,England,False,,,,,,,
9zYtL3SpFkx5QY930Ucx,w3a4GY9o1TZPW86MRpeyUKN7rBm2,ph,,River Dee,Planet Patrol,53.18795333333333,-2.86942,North West,CH3 5UW,Cheshire West and Chester,England,,,,,,,,6
R7hl84RP14sN0G4orGX7,w3a4GY9o1TZPW86MRpeyUKN7rBm2,ph,,River Dee,Planet Patrol,53.187655,-2.8697033333333333,North West,CH3 5UW,Cheshire West and Chester,England,,,,,,,,6.5
ZjocCqsWP601jWpHauyE,ERFtPMiLHSgWmSeVjJKUJud2qJ32,ph,,Bristol Feeder Canal,Planet Patrol,,,,,,,,,,,,,,8
ZmFfVdJMNZ9ll4clODg8,ERFtPMiLHSgWmSeVjJKUJud2qJ32,ph,,Bristol Feeder canal,Planet Patrol,51.4520256,-2.5978468,South West,BS1 5TX,"Bristol, City of",England,,,,,,,,7
eQjwpciNPMqX50OWpiwF,w3a4GY9o1TZPW86MRpeyUKN7rBm2,ph,,River Dee,Planet Patrol,53.18777166666667,-2.86977,North West,CH3 5UW,Cheshire West and Chester,England,,,,,,,,7
o8CwyB4EV0AGIoU6eE8Y,w3a4GY9o1TZPW86MRpeyUKN7rBm2,ph,,River Dee,Planet Patrol,53.18776666666667,-2.869805,North West,CH3 5UW,Cheshire West and Chester,England,,,,,,,,6
xB3FZbXScFYiP1kFm7j0,w3a4GY9o1TZPW86MRpeyUKN7rBm2,ph,,River Dee,Planet Patrol,53.18795333333333,-2.86942,North West,CH3 5UW,Cheshire West and Chester,England,,,,,,,,6
JbCPY6oVBt6dtTT08fhV,zHm4JXEFN3WQ0xUdeR0bYSUCBBM2,nitrate,2022-04-22 08:24:14,This is a TEST - please delete data,Planet Patrol,54.98510410126353,-1.5730595852358242,North East,NE6 5DL,Newcastle upon Tyne,England,,,,0,mg/l,0,mg/l,
Dh33QlcsZLtkNq3khzN7,zHm4JXEFN3WQ0xUdeR0bYSUCBBM2,phosphate,2022-04-22 08:30:48,This is a TEST - delete data later,Planet Patrol,54.98510410126353,-1.5730595852358242,North East,NE6 5DL,Newcastle upon Tyne,England,,300,ppb,,,,,
